video_id,title,published_at,view_count,like_count,comment_count,duration
QQ9XhGuBIZ8,What Investors Really Look For? @SonyLIV​,2025-08-21T14:33:46Z,85929,3000,23,PT1M37S
ENmpCtevpu4,Aamir Khan on his biggest insecurity,2025-08-21T12:30:28Z,91596,1112,18,PT39S
7lDpY-WK0tk,Story behind casting of Ishaan,2025-08-21T06:46:25Z,105918,2209,7,PT46S
5llASgoUMEo,Why Aamir trusts test screenings?,2025-08-20T14:30:07Z,245085,5045,32,PT50S
bVmqGQwP918,Edit that changed Taare Zameen Par,2025-08-20T13:30:36Z,1580629,44562,90,PT1M14S
ycI5zFvw90w,Cinema was for everyone…not anymore,2025-08-20T07:18:59Z,218552,4828,61,PT48S
nu-xByQyuLE,"Chase excellence, success will follow",2025-08-20T07:14:06Z,110459,3788,17,PT51S
1tRTWwZ5DIc,The INSANE Rise of NVIDIA: From Bankruptcy to $4 Trillion? | Business case study @NVIDIA,2025-08-17T06:30:07Z,988825,33522,752,PT26M57S
mFxgSkOER3Q,Rise of NVIDIA #thinkschool #nvidia,2025-08-17T05:00:29Z,31875,759,17,PT34S
8FDs-jQYAmM,Lessons from Tomorrowland for India!,2025-08-14T13:24:52Z,201587,8914,119,PT1M58S
cgrRcoUDRmM,Payments App That Stops Your Money Leaks,2025-08-13T14:25:27Z,107980,5923,53,PT1M24S
w3us7h5g7uU,Only 2% of Indians have access to Movies,2025-08-12T11:30:54Z,844188,17805,165,PT55S
jHI4SpRB4vI,Secret Behind Every Blockbuster Movie,2025-08-12T09:57:34Z,76537,1574,19,PT46S
YYJZ6FDO5W4,3 Critical Factors That Will SHAPE Indian Cinema's Success,2025-08-11T14:30:23Z,254629,5798,478,PT1H46M45S
_WCM7Pz1jy4,Addressing the hate I got on the Israel podcast,2025-08-08T14:10:57Z,163759,10739,1877,PT10M6S
elT3DbT0w-M,Israel attacked aid centres in Gaza?,2025-08-08T09:00:54Z,36841,695,48,PT45S
6FzfkIGuscc,"Why Israel Attacks Syria, Fears Iran’s Bomb & Faces Global Pressure : Israeli Ambassador Explains",2025-08-06T13:00:11Z,113940,4416,924,PT1H3M20S
MPb-kn4C1EU,IBP with Israel’s Top Diplomat,2025-08-06T02:30:18Z,40780,1441,108,PT1M26S
DWTnlMBsV8I,New Episode Coming Soon...,2025-08-05T10:52:49Z,39583,533,25,PT18S
1jUjEVbHV38,Chicago Land Bubble Explained,2025-08-04T08:21:56Z,231428,3639,30,PT51S
smU64rAUFMo,Big name dropping soon..,2025-08-03T08:23:52Z,71332,904,59,PT19S
aCzWyOeS_kU,Learn to Ask Better Questions To AI,2025-08-01T14:30:00Z,40440,920,4,PT22S
nxV5xkVuX8g,Engineers Must Think Like Founders,2025-08-01T12:30:58Z,34034,874,5,PT59S
tf4hO6oeI-E,How OpenAI Hires Top Talent?,2025-08-01T07:51:06Z,39500,773,2,PT32S
cVNAAiv0C4o,AI Creates But TASTE Decides Everything,2025-08-01T07:45:25Z,40776,838,13,PT43S
P74BcjfET7Y,What Sets Sam Altman Apart,2025-07-31T14:57:32Z,28367,443,0,PT22S
ockrdZal5fA,@OpenAI VP on How AI Will Redefine Work ft. Srinivas Narayanan | IBP EP37,2025-07-31T14:30:39Z,280490,4534,226,PT1H1M9S
q17CevDx82E,Persuasion Isn’t Manipulation,2025-07-31T09:10:34Z,23380,542,3,PT36S
egDxxZa6LPo,Sales Is The Foundation of Success,2025-07-31T09:04:34Z,57163,1744,5,PT39S
P5BRLfA3fGs,"China is in 300% DEBT, is it a CRITICAL LESSON for India? ECONOMIC CASE STUDY",2025-07-30T14:30:07Z,768396,21754,1134,PT16M49S
3JcmOnZ4f3Y,Man behind @OpenAI ft. Srinivas Narayanan,2025-07-30T14:30:04Z,33740,1123,17,PT1M24S
inrS8kS_WuQ,Placement Is The Real MBA Product,2025-07-30T12:30:52Z,104086,2088,17,PT29S
YeuGK3sl1vY,"Feedback is a Gift, Not Attack",2025-07-30T11:30:34Z,24867,620,3,PT44S
L_3wOmRiYis,DLF Camellias: Best Real Estate Project?,2025-07-30T10:30:22Z,434762,7352,56,PT38S
-Lm0Nhp1IWM,"Jobs Come First, Real Estate Follows",2025-07-30T09:30:01Z,181777,3178,17,PT27S
EXaungV5q3U,Gurgaon's Real Estate Bubble,2025-07-30T08:36:58Z,423492,7433,59,PT52S
QMP7KPKjgh4,"Tools Amplify You, Not Change You",2025-07-30T06:47:24Z,22728,683,10,PT44S
hvap97NGRY4,Why Founders Make the Best Hires,2025-07-30T06:42:10Z,42821,960,15,PT44S
IG2Ot6gyEGM,Why Indians Struggle at Sales,2025-07-29T08:24:04Z,86892,2157,26,PT33S
5ijaf7i5TIY,Can AI Agents replace HR?,2025-07-28T12:47:15Z,62241,1063,18,PT34S
LrH36jzRFyE,Join us at Odoo Community Days,2025-07-28T06:22:52Z,22930,683,10,PT1M5S
gLeMTK3PeC8,10X Your BUSINESS and Build POWERFUL Career: Kunal Shah’s UNFILTERED Business MASTERCLASS | IBP EP36,2025-07-26T12:40:02Z,338348,7272,365,PT1H32M15S
IyeBwEn47PQ,Why Homebuyers Don’t Trust Builders,2025-07-26T06:55:16Z,188349,2970,12,PT47S
50jMz-c-vE8,One Project Changes City Prices,2025-07-23T14:38:16Z,665044,17685,108,PT51S
WigW83_aoAI,Why Airport Areas See Land Hype,2025-07-21T14:23:19Z,203558,4208,19,PT1M24S
lAIh3MgD7Ac,Why Gurgaon’s Real Estate Boomed?,2025-07-21T12:48:18Z,75608,1489,13,PT1M15S
i_Y-yBW7kCU,Dark Truth of Gurgaon Real Estate Ft. Vishal Bhargava | IBP EP35,2025-07-21T12:30:50Z,500304,7150,1113,PT2H1M37S
yDed2v571pw,Gurgaon Property Boom or Bust? Releasing soon!,2025-07-19T09:03:17Z,165698,4456,62,PT1M52S
qtRH3EteJ_o,Why You’re Still Earning ₹4 LPA,2025-07-18T07:43:14Z,97536,1977,31,PT28S
KiIvF4JM694,Proactive candidates always stand out,2025-07-17T15:27:17Z,32526,748,3,PT46S
hMoK4u1mXZA,ESOPs vs Salary,2025-07-17T05:44:24Z,87846,1920,5,PT49S
16o4KgNVBeI,IIM vs Scaler,2025-07-15T16:09:52Z,36728,637,21,PT51S
WJIw5pEFKBw,What makes your Resume special?,2025-07-15T08:53:26Z,44459,1040,4,PT40S
0Z_IL6IQvJk,One Big Myth About Startups,2025-07-14T13:57:33Z,48780,1757,5,PT1M1S
rb_tQdRwYnw,Trump's Explosive Warning: Is BRICS on the Edge of Collapse? Geopolitical Case Study,2025-07-13T10:40:01Z,520322,15530,621,PT11M50S
h-Q0777sxpk,IIM is Overrated?,2025-07-11T14:50:03Z,106452,2292,15,PT1M9S
cw06YhrrofU,Secret of High income earners,2025-07-11T14:12:32Z,72656,1453,6,PT37S
Jtlhil-ZrSw,Inside Facebook’s Ruthless Meritocracy,2025-07-11T13:50:05Z,534255,9142,43,PT1M2S
-_rzYoEZdc0,50 Lakhs income secret.. coming soon,2025-07-11T13:25:34Z,32511,773,10,PT1M32S
aRPdjYpTtxc,AI Is Replacing These Jobs,2025-07-11T13:06:59Z,59402,1173,10,PT59S
xwFgddaaBXs,Ex-Facebook & Uber Heads Reveal 9 SIMPLE HABITS to EARN ₹50 Lakh/Year | IBP EP34,2025-07-11T12:45:07Z,305846,6074,197,PT1H56M18S
HP5Ksajn4lc,America Shocked 🚨: Elon Musk Annouces a new Political Party | Whats next? | Political Case study,2025-07-04T06:43:00Z,751578,21164,1164,PT23M54S
7ek1P610tm4,"How this UGLY Doll ""Labubu"" Prints $1.6 Billion: HYPE Marketing Explained | Business Case Study",2025-07-02T15:00:07Z,841985,19164,739,PT20M21S
B8X3loWQqyU,MrBeast's Viral Thumbnail Secret!,2025-06-30T06:15:17Z,33981,1095,3,PT1M10S
O0Qhnls-C6k,NASA's Innovation First Rule,2025-06-30T06:13:56Z,62433,2321,7,PT1M3S
1--iZlvRw9Q,Product vs Sponsorship,2025-06-27T09:09:59Z,45109,1432,4,PT1M13S
AFhH7rG1yb0,Instagram vs YouTube,2025-06-27T08:44:47Z,47204,1162,2,PT48S
KUM6J25ySlE,How Does Mark Rober Create Viral Hits?,2025-06-27T08:15:02Z,38370,1404,6,PT1M25S
QPCC918A2a4,The secret to viral thumbnails,2025-06-26T13:19:07Z,27675,662,3,PT49S
jGgb3i8sui4,How Mark Rober makes viral videos?,2025-06-26T13:16:17Z,31398,727,7,PT56S
7HAF4KdnfC8,Apple’s Secret Culture of Simplicity,2025-06-26T06:46:51Z,96031,3904,14,PT1M11S
bLPcagynjII,Will AI Secretly Take Over Humanity?,2025-06-26T06:44:14Z,34460,966,8,PT57S
trKuZAGlvoY,₹50 Lakh Jugaad Challenge for India!,2025-06-25T15:37:08Z,42230,783,10,PT36S
jgCIrZxXdbQ,3 Lessons India Can Learn From NASA,2025-06-25T15:28:56Z,47721,1288,9,PT58S
FCWwRwdbbJg,@MarkRober  Leadership Formula,2025-06-25T15:00:30Z,28848,1046,3,PT56S
YZOaZM4Cf1M,"@MarkRober  Loves ""Jugaad""",2025-06-25T14:56:28Z,52586,2100,19,PT1M2S
rlcZyFsGFkk,AI Will Reshape Global Power Forever,2025-06-25T14:52:46Z,22920,1107,4,PT1M23S
5d3AB7oYQy4,Creators Fail Without THIS One Role!,2025-06-25T14:45:46Z,26579,1652,2,PT1M14S
lArBQUlVn9w,@loganpaulvlogs  Prime Marketing Strategy,2025-06-25T14:40:09Z,29891,597,9,PT53S
M173e445SxY,"@MarkRober on NASA, Apple & How to Go Viral on YouTube? | IBP EP33",2025-06-25T14:30:14Z,124493,3394,166,PT2H6M23S
a2bReBOl91U,@MarkRober  NASA Engineer to YouTuber,2025-06-25T10:40:07Z,39014,1857,15,PT1M33S
cfpIxv8vqr0,Why Russia and China wont let IRAN Fall? | Geopolitical Case Study,2025-06-24T05:33:10Z,805307,24308,970,PT15M58S
6DX8jLJNwM0,Amazon vs Nykaa Inventory Models,2025-06-21T06:48:29Z,410178,6383,33,PT43S
7HXNTrfJ16c,Dark Side of Skincare Industry,2025-06-21T06:48:21Z,49720,1431,6,PT1M6S
Nb2Ax0Q913A,How brands choose Creators,2025-06-21T06:48:01Z,22207,515,0,PT46S
aeVrdWg19hA,Creativity vs Discipline,2025-06-21T06:47:52Z,35770,1023,3,PT43S
hP0Jzcmulg4,Growth of Face Serum Market,2025-06-20T13:46:05Z,27471,623,1,PT44S
V5pd_Vr_z8A,How to deal with Hairfall?,2025-06-20T13:46:00Z,14322,365,2,PT50S
zGIwnkU01X4,FREE MBA : How Minimalist Conquered India's D2C Beauty Market? - IBP EP32,2025-06-20T13:45:08Z,118803,2557,103,PT2H13M43S
nAEHny6_d8w,2955 Cr Skincare Business #minimalist,2025-06-19T12:01:56Z,35391,1235,16,PT1M34S
J7eRGL5uvaE,DONALD TRUMP'S “Big Beautiful Bill” Just Changed Everything for ELON MUSK!!,2025-06-12T15:20:00Z,513542,13048,372,PT16M51S
Ctv0q_LAld4,Pantaloons vs Manyavar,2025-06-12T06:14:48Z,40978,609,2,PT30S
ZtXh621S4DA,How SuperYou was positioned?,2025-06-12T05:57:05Z,33338,546,3,PT36S
qC_5Szufc-M,"Harvard, Stanford...where's India?",2025-06-12T05:38:00Z,46405,1071,18,PT1M
M0DEvalGo-Q,Build a life not just a resume,2025-06-12T05:15:04Z,52547,2237,3,PT52S
PZX82POfJ1g,MBA won't teach you this!,2025-06-11T12:50:10Z,32177,892,9,PT55S
NW0pOuRljNI,Listerine's brilliant marketing strategy,2025-06-11T08:51:41Z,68109,1225,4,PT44S
0dYmToMydPU,3 must-read books for success,2025-06-11T07:08:27Z,124995,3522,7,PT20S
lUyn_nyhRCQ,Premiumising daily goods in India,2025-06-11T06:35:49Z,56011,1220,3,PT47S
mP1M8laJF-c,Old India vs New India,2025-06-11T06:27:23Z,27797,473,0,PT45S
5pRSjutHBgc,What made Big Bazaar successful?,2025-06-11T06:00:48Z,18742,292,3,PT42S
MZQvvg_x3gg,AMERICA can create UNLIMITED Money? The Real Power of the US DOLLAR | Economic Case Study,2025-06-10T13:30:07Z,365767,11626,517,PT15M32S
RsXjTf8UVEc,Business lessons from family,2025-06-09T09:59:35Z,208223,4397,25,PT56S
fVuA_01Fi9E,Why universities aren't becoming best?,2025-06-09T07:52:08Z,82054,2442,78,PT1M20S
tC5qFAkST_4,Scale for a college?,2025-06-09T07:41:37Z,30023,787,5,PT1M18S
eWP2_oOY_sE,China's was making future India,2025-06-09T07:36:29Z,34108,999,14,PT1M9S
uhXIAxDMous,Truth About College Donations,2025-06-07T14:23:20Z,77007,1586,23,PT1M
DVjbCEZJfTI,Parents' Dreams vs. Our Own,2025-06-07T14:21:20Z,44617,1164,4,PT1M18S
QSuQ8ApOFSE,How Founders Spot Compounders,2025-06-07T14:17:58Z,42843,1033,1,PT1M
wrjk1NIuRS0,The Education Business in India,2025-06-07T14:06:21Z,682671,12386,68,PT1M11S
Ymcq18ZNNWA,College Built With Zero Capex,2025-06-07T12:43:05Z,50745,1189,15,PT1M9S
OGYZfAibQgk,"Feedback transforms, growth follows naturally.",2025-06-07T12:24:35Z,28857,1017,5,PT1M11S
oyCX308gFvk,Tanmay Bhat's Course is Free,2025-06-07T12:03:01Z,162492,3358,32,PT41S
qnEXkNUaAcI,"Harsh Truth About Degrees, Placements & Indian Students : Pratham Mittal | IBP EP30",2025-06-07T11:45:11Z,196714,4432,372,PT2H50M17S
uABNWprCXMY,Is the Company Investing in You?,2025-06-07T11:45:11Z,43465,1747,2,PT1M36S
LyjZkxqjN5A,Full Podcast tomorrow evening,2025-06-06T11:30:14Z,44692,1549,25,PT1M21S
2RrfkYQikpE,From Shortages to Abundance: India’s Growth Story,2025-06-05T15:41:57Z,41891,787,3,PT45S
1kGbfVe_5Lw,Branding starts with observation,2025-06-05T15:30:34Z,38508,695,4,PT31S
a8LHeAEi24s,What GenZ Is Solving Now?,2025-06-05T15:15:43Z,197433,4169,38,PT42S
ebHhxxhA35Y,King Kohli for a reason,2025-06-03T18:05:57Z,27208,740,9,PT31S
beplQn3VuZQ,How to find a Brand Personality?,2025-06-03T11:59:17Z,45370,824,9,PT51S
Fb1aftiwCQE,D-Mart vs BigBaazar,2025-06-03T11:20:00Z,86076,1357,5,PT45S
q7A2jTYmxsY,Franchise Mistakes To Avoid,2025-06-03T11:10:47Z,64271,1275,9,PT1M2S
G-HYKKGTTxA,What worked for Big Bazaar?,2025-06-03T11:08:56Z,19637,308,3,PT35S
BAr03deZtAE,Why Pantaloons Skipped The Franchise,2025-06-03T11:08:41Z,121592,1387,2,PT30S
7_h3uii1k78,Quick Commerce are real optimisers,2025-06-03T09:53:58Z,54245,1165,5,PT46S
sPL8SyRWU_0,How Levi’s Became cult,2025-06-02T14:55:41Z,164275,2957,6,PT52S
XIwqvtVADAA,China’s Value Addition Rise,2025-06-02T14:51:58Z,61981,1230,4,PT56S
hkVY4_jnPi0,India Needs More Value Addition,2025-06-02T14:48:13Z,184120,4145,83,PT1M2S
xqSmbDTS-sY,FREE MBA on Indian Retail: Big Bazaar’s Shocking Fall Explained by Its Founder | IBP EP31,2025-06-02T14:32:29Z,287480,4782,414,PT2H3M37S
6LpLl5H63N0,India's Retail King's Success Formula,2025-06-01T11:19:42Z,160711,5877,38,PT1M48S
4zoAC3MSmg8,Income Levels? Look at Cars.,2025-06-01T04:30:10Z,178101,2292,26,PT35S
eWiBLgxOcW0,Is India’s $4 Trillion GDP Actually a Trap? | Economic Case Study,2025-05-30T15:36:33Z,1491723,60037,7062,PT28M7S
nLA6LKcf_sk,School Zones Shape Real Estate,2025-05-30T12:45:50Z,49120,947,5,PT55S
